ATTRIBUTES:

Attribute #1:
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:IV  12/02/2023  14:40:05
DATE:12/02/2023
TIME:14:40:05

CONDITIONS:

ID:	A	
UNIT:	SMU4	
START:	0	
STOP:	-5	
PNTS:	101	
	STEP:	-0.1

ID:	K	
UNIT:	SMU1	
MODE: SWEEP	
START:	5	
STOP:	-5	
PNTS:	1	
STEP:	-10

DATA:  IV  12/02/2023  14:40:05

VA	IA	
0.00000000E+000	-1.42300000E-003	
0.00000000E+000	-1.12350000E-003	
0.00000000E+000	-8.32350000E-004	
0.00000000E+000	-5.55250000E-004	
0.00000000E+000	-2.83700000E-004	
0.00000000E+000	1.02900000E-005	
0.00000000E+000	1.38300000E-005	
0.00000000E+000	1.51800000E-005	
0.00000000E+000	1.61990000E-005	
0.00000000E+000	1.70700000E-005	
0.00000000E+000	1.78250000E-005	

TEST RESULTS:  IV  12/02/2023  14:40:05


