ATTRIBUTES:

Attribute #1:
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:IV  12/06/2023  01:17:52
DATE:12/06/2023
TIME:01:17:52

CONDITIONS:

ID:	D	
UNIT:	SMU1	
MODE: STEP	
START:	0	
STOP:	5	
PNTS:	6	
STEP:	1

ID:	G	
UNIT:	SMU3	
MODE: SWEEP	
START:	-0.1	
STOP:	0.7	
PNTS:	81	
STEP:	0.01

ID:	S	
UNIT:	SMU4	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

DATA:  IV  12/06/2023  01:17:52

ID	ID2	ID3	ID4	ID5	ID6	VG
2.61350000E-005	1.28150000E-003	4.02550000E-003	9.32840000E-003	1.93150000E-002	3.31950000E-002	-1.00000000E-001
2.31440000E-005	1.25750000E-003	3.98660000E-003	9.25490000E-003	1.91800000E-002	3.29210000E-002	-9.00000000E-002
2.01750000E-005	1.23800000E-003	3.94510000E-003	9.17050000E-003	1.90400000E-002	3.24400000E-002	-8.00000000E-002
1.74650000E-005	1.21850000E-003	3.90740000E-003	9.09850000E-003	1.89500000E-002	3.20360000E-002	-7.00000000E-002
1.48850000E-005	1.19500000E-003	3.86700000E-003	9.01560000E-003	1.88350000E-002	3.19310000E-002	-6.00000000E-002
1.22550000E-005	1.17450000E-003	3.82650000E-003	8.93970000E-003	1.85100000E-002	3.18600000E-002	-5.00000000E-002
9.69000000E-006	1.15850000E-003	3.78950000E-003	8.86200000E-003	1.83350000E-002	3.17650000E-002	-4.00000000E-002
6.88600000E-006	1.14250000E-003	3.75500000E-003	8.79150000E-003	1.81950000E-002	3.15900000E-002	-3.00000000E-002
4.50600000E-006	1.12500000E-003	3.72300000E-003	8.71660000E-003	1.80550000E-002	3.15460000E-002	-2.00000000E-002
2.36350000E-006	1.10700000E-003	3.68750000E-003	8.64740000E-003	1.79150000E-002	3.15550000E-002	-1.00000000E-002
7.64490000E-008	1.08850000E-003	3.64650000E-003	8.57450000E-003	1.77850000E-002	3.11700000E-002	-1.38777878E-017
-4.62500000E-006	1.06950000E-003	3.60700000E-003	8.50770000E-003	1.76600000E-002	3.10110000E-002	1.00000000E-002
-9.77560000E-006	1.05400000E-003	3.57450000E-003	8.43570000E-003	1.75300000E-002	3.08900000E-002	2.00000000E-002
-1.46650000E-005	1.03950000E-003	3.53800000E-003	8.36800000E-003	1.73950000E-002	3.06850000E-002	3.00000000E-002
-1.90900000E-005	1.02600000E-003	3.50650000E-003	8.29650000E-003	1.72700000E-002	3.04760000E-002	4.00000000E-002
-2.39800000E-005	1.01080000E-003	3.46950000E-003	8.23070000E-003	1.71350000E-002	3.03350000E-002	5.00000000E-002
-2.87290000E-005	9.94320000E-004	3.43500000E-003	8.16440000E-003	1.70050000E-002	3.01950000E-002	6.00000000E-002
-3.35240000E-005	9.79540000E-004	3.40200000E-003	8.09330000E-003	1.68800000E-002	3.00100000E-002	7.00000000E-002
-3.85250000E-005	9.67560000E-004	3.36800000E-003	8.03140000E-003	1.67500000E-002	2.98500000E-002	8.00000000E-002
-4.29000000E-005	9.53940000E-004	3.33800000E-003	7.96410000E-003	1.66250000E-002	2.96950000E-002	9.00000000E-002
-4.77600000E-005	9.42800000E-004	3.30850000E-003	7.90500000E-003	1.65050000E-002	2.95350000E-002	1.00000000E-001
-5.23740000E-005	9.30010000E-004	3.27710000E-003	7.84250000E-003	1.63800000E-002	2.93750000E-002	1.10000000E-001
-5.72240000E-005	9.16600000E-004	3.24610000E-003	7.77860000E-003	1.62500000E-002	2.92100000E-002	1.20000000E-001
-6.21340000E-005	9.08310000E-004	3.21600000E-003	7.71810000E-003	1.61250000E-002	2.90560000E-002	1.30000000E-001
-6.68730000E-005	8.94900000E-004	3.19000000E-003	7.66020000E-003	1.60000000E-002	2.88910000E-002	1.40000000E-001
-7.19800000E-005	8.83700000E-004	3.15950000E-003	7.59960000E-003	1.58810000E-002	2.87350000E-002	1.50000000E-001
-7.69380000E-005	8.73420000E-004	3.12600000E-003	7.53900000E-003	1.57600000E-002	2.85700000E-002	1.60000000E-001
-8.18410000E-005	8.62810000E-004	3.10250000E-003	7.48160000E-003	1.56450000E-002	2.84160000E-002	1.70000000E-001
-8.66580000E-005	8.53270000E-004	3.07450000E-003	7.42460000E-003	1.55300000E-002	2.82500000E-002	1.80000000E-001
-9.18810000E-005	8.46650000E-004	3.04750000E-003	7.36860000E-003	1.54150000E-002	2.80800000E-002	1.90000000E-001
-9.76290000E-005	8.36850000E-004	3.02100000E-003	7.31160000E-003	1.53000000E-002	2.79200000E-002	2.00000000E-001
-1.02760000E-004	8.26860000E-004	2.99500000E-003	7.25460000E-003	1.51850000E-002	2.77610000E-002	2.10000000E-001
-1.07050000E-004	8.22100000E-004	2.96900000E-003	7.20210000E-003	1.50700000E-002	2.76000000E-002	2.20000000E-001
-1.12300000E-004	8.12710000E-004	2.94300000E-003	7.14750000E-003	1.49600000E-002	2.74400000E-002	2.30000000E-001
-1.16900000E-004	8.05910000E-004	2.91850000E-003	7.09460000E-003	1.48500000E-002	2.72800000E-002	2.40000000E-001
-1.22750000E-004	8.02610000E-004	2.89400000E-003	7.04100000E-003	1.47400000E-002	2.71210000E-002	2.50000000E-001
-1.28200000E-004	7.94800000E-004	2.87060000E-003	6.99070000E-003	1.46300000E-002	2.69600000E-002	2.60000000E-001
-1.33450000E-004	7.88750000E-004	2.84760000E-003	6.93890000E-003	1.45200000E-002	2.68110000E-002	2.70000000E-001
-1.40650000E-004	7.85050000E-004	2.82750000E-003	6.88910000E-003	1.44150000E-002	2.66500000E-002	2.80000000E-001
-1.46000000E-004	7.80850000E-004	2.80360000E-003	6.84000000E-003	1.43050000E-002	2.64950000E-002	2.90000000E-001
-1.51550000E-004	7.76950000E-004	2.78310000E-003	6.79020000E-003	1.42000000E-002	2.63350000E-002	3.00000000E-001
-1.59450000E-004	7.74710000E-004	2.76210000E-003	6.74200000E-003	1.40950000E-002	2.61850000E-002	3.10000000E-001
-1.65850000E-004	7.71490000E-004	2.74250000E-003	6.69450000E-003	1.39900000E-002	2.60250000E-002	3.20000000E-001
-1.74350000E-004	7.68600000E-004	2.72300000E-003	6.64810000E-003	1.38950000E-002	2.58750000E-002	3.30000000E-001
-1.81350000E-004	7.64960000E-004	2.70250000E-003	6.59900000E-003	1.37850000E-002	2.57210000E-002	3.40000000E-001
-1.89550000E-004	7.63510000E-004	2.68450000E-003	6.55410000E-003	1.36900000E-002	2.55650000E-002	3.50000000E-001
-1.97500000E-004	7.62340000E-004	2.66600000E-003	6.50860000E-003	1.35850000E-002	2.54150000E-002	3.60000000E-001
-2.05300000E-004	7.61420000E-004	2.64800000E-003	6.46500000E-003	1.34900000E-002	2.52550000E-002	3.70000000E-001
-2.16000000E-004	7.61810000E-004	2.63110000E-003	6.42160000E-003	1.33950000E-002	2.51100000E-002	3.80000000E-001
